Distance,Aim_div,Aim_mil,V,Delta_X_mil,Dev_Dist,Dev_H,Dev_Lat,Dir_Corr_Deriv,Dir_Corr_Lat_Wind,Dir_Corr_Long_Wind,Dist_Corr_P,Dist_Corr_Air_T,Dist_Corr_Proj_T,Dist_Corr_V,Dist_Corr_M,Aim_deg,Imp_deg,Imp_V,Time,Meteo_H,Traj_H
6200,145.6,215,3,20,15,5.3,3.6,5,9,132,26,94,34,68,4,12,19,280,19,600,452
6400,149.8,225,3,19,16,5.7,3.7,5,9,140,27,99,35,69,4,13,20,278,20,700,490
6600,154.0,236,3,19,16,6.1,3.7,5,9,148,28,104,35,70,4,14,20,277,21,700,530
6800,158.1,247,3,19,16,6.5,3.8,5,9,156,29,109,35,71,4,14,21,275,21,800,572
7000,162.3,258,3,18,17,6.9,3.9,6,10,164,30,114,36,73,4,15,22,273,22,800,616
7200,166.4,269,3,18,17,7.3,3.9,6,10,172,31,119,37,74,3,16,23,272,23,900,662
7400,170.6,281,4,17,17,7.7,4.0,6,10,180,32,124,38,76,3,16,24,271,24,900,711
7600,174.8,293,4,17,17,8.2,4.1,6,11,188,33,129,39,77,3,17,25,270,25,1000,763
7800,179.0,305,4,17,17,8.7,4.2,6,11,196,34,134,39,78,3,18,26,269,26,1100,818
8000,183.2,318,5,16,18,9.2,4.3,7,11,205,36,139,40,80,2,19,27,269,26,1200,876
8200,187.5,331,5,16,18,9.7,4.4,7,11,213,37,144,41,81,2,19,28,269,27,1200,938
8400,191.7,344,5,15,18,10,4.5,7,12,222,38,149,41,82,2,20,29,268,28,1300,1000
8600,195.8,358,5,15,19,11,4.6,8,12,230,39,154,42,83,2,21,30,267,29,1400,1070
8800,200.0,372,6,14,19,12,4.7,8,12,239,41,159,42,84,1,22,31,267,30,1500,1140
9000,204.2,386,6,14,20,13,4.9,9,12,247,42,164,43,85,1,23,33,267,31,1600,1220
9200,208.3,401,6,13,20,14,5.1,9,12,256,44,169,44,87,0,24,34,267,32,1700,1300
9400,212.4,417,7,12,21,15,5.3,10,12,265,45,174,44,88,0,25,35,267,33,1800,1390
9600,216.6,433,7,12,21,16,5.5,10,13,274,47,179,45,89,0,25,36,267,34,1900,1480
9800,220.7,450,8,11,22,17,5.7,11,13,283,48,184,46,90,0,27,37,268,35,2000,1580
10000,224.9,468,9,10,23,19,5.9,11,13,292,50,189,46,91,-1,28,39,269,36,2100,1680
10200,229.0,487,10,9.8,23,21,6.1,12,13,301,51,194,47,93,-2,29,40,270,37,2300,1800
10400,233.2,508,11,9.0,24,22,6.4,12,14,310,53,199,47,94,-2,30,41,271,38,2400,1930
10600,237.3,530,12,8.3,24,24,6.7,13,14,320,54,204,48,95,-2,31,43,272,39,2600,2070
10800,241.5,555,14,7.4,25,25,7.0,14,14,330,56,208,48,97,-3,33,44,273,41,2700,2220
11000,245.7,582,18,5.9,26,27,7.3,15,15,340,57,212,49,98,-4,34,46,275,43,2900,2400
11200,250.0,616,25,4.4,26,30,8.0,16,15,350,59,215,50,100,-4,36,48,277,45,3100,2630
11400,254.2,661,0,0,27,33,8.7,17,15,360,62,218,51,102,-5,39,51,281,48,3400,2940
11500,256.1,724,0,0,28,39,9.3,20,16,370,63,219,52,103,-6,43,55,286,52,3800,3390
