Distance,Aim_div,Aim_mil,V,Delta_X_mil,Dev_Dist,Dev_H,Dev_Lat,Dir_Corr_Deriv,Dir_Corr_Lat_Wind,Dir_Corr_Long_Wind,Dist_Corr_P,Dist_Corr_Air_T,Dist_Corr_Proj_T,Dist_Corr_V,Dist_Corr_M,Aim_deg,Imp_deg,Imp_V,Time,Meteo_H,Traj_H
7000,140,130,2,30,14,3.5,4.4,3,8,91,39,88,72,90,-1,7,14,311,16,500,333
7200,144,137,2,29,14,3.7,4.4,3,8,97,40,93,73,92,-1,8,15,308,17,500,363
7400,148,144,2,28,14,4,4.5,4,9,103,42,98,74,93,-2,8,16,305,18,600,395
7600,152,151,2,27,14,4.3,4.5,4,9,109,43,103,75,94,-2,9,16,302,18,600,428
7800,156,159,2,26,14,4.6,4.6,4,9,116,45,108,76,95,-3,9,17,299,19,700,462
8000,160,167,2,26,15,4.9,4.6,4,9,123,47,113,77,96,-4,10,18,297,20,700,498
8200,164,174,3,25,15,5.3,4.6,4,10,130,48,118,78,97,-4,10,19,295,20,800,536
8400,168,182,3,24,15,5.7,4.7,5,10,137,50,123,78,98,-5,10,20,293,21,800,577
8600,172,191,3,23,16,6.1,4.7,5,10,144,51,128,79,99,-5,11,21,291,22,900,620
8800,176,199,3,23,16,6.5,4.8,5,10,151,53,133,80,100,-6,11,22,289,23,1000,665
9000,180,208,3,22,17,6.9,4.8,5,10,159,55,139,81,101,-7,12,22,288,23,1000,713
9200,184,217,3,22,17,7.3,4.9,6,10,166,56,144,82,102,-7,13,23,287,24,1100,763
9400,188,226,3,21,17,7.7,4.9,6,10,174,58,149,82,103,-8,13,24,286,25,1200,815
9600,192,235,3,21,17,8.2,5,6,11,182,59,154,83,104,-8,14,25,285,26,1200,869
9800,196,245,4,20,18,8.7,5,6,11,190,61,159,84,105,-9,14,26,284,26,1300,926
10000,200,254,4,20,18,9.2,5.1,7,12,198,62,164,85,106,-9,15,27,283,27,1400,985
10200,204,264,4,20,18,8.6,5.1,7,12,207,63,169,86,107,-10,15,28,282,28,1500,1050
10400,208,274,4,19,18,10,5.2,7,12,215,65,174,81,108,-10,16,29,282,29,1600,1110
10600,212,285,4,19,18,10,5.3,8,12,224,66,179,87,109,-11,17,30,281,30,1700,1180
10800,216,295,4,18,19,11,5.4,8,13,232,68,184,88,110,-11,17,31,281,31,1800,1250
11000,220,306,5,18,19,12,5.5,8,13,241,69,489,89,111,-12,18,32,281,32,1900,1320
11200,224,317,5,18,198,13,5.6,8,13,250,70,194,90,112,-12,19,33,281,32,2000,1400
11400,228,329,5,17,19,13,5.7,9,13,259,82,199,90,113,-13,19,34,281,33,2100,1480
11600,232,341,5,17,19,14,5.8,9,14,268,73,204,91,114,-13,20,35,281,34,2200,1560
11800,236,353,5,17,20,15,5.9,9,14,277,75,209,91,114,-14,21,36,282,35,2300,1650
12000,240,365,6,16,20,15,6,10,14,286,77,215,92,115,-14,21,37,282,36,2400,1740
12200,244,378,6,16,20,16,6.1,10,15,295,79,220,93,116,-15,22,38,282,37,2600,1830
12400,248,391,6,15,20,17,6.3,10,15,304,81,225,94,117,-16,23,39,283,38,2700,1930
12600,252,405,6,15,21,18,6.5,11,15,314,83,230,95,118,-17,24,40,284,39,2900,2040
12800,256,419,7,14,21,19,6.7,11,15,324,85,235,96,119,-18,25,21,285,40,3000,2150
13000,260,434,7,14,22,20,6.8,11,15,334,87,240,97,121,-18,26,42,286,41,3100,2270
13200,264,449,8,13,22,21,7,12,16,344,89,245,98,122,-19,26,43,287,43,3300,2400
13400,268,464,9,12,22,22,7.2,12,16,354,91,250,99,124,-20,27,44,288,44,3400,2530
13600,272,481,9,11,23,23,7.4,13,16,365,93,255,100,125,-21,28,45,298,45,3600,2670
13800,276,499,10,11,23,24,7.6,13,16,376,95,259,102,127,-21,29,46,290,46,3800,2820
14000,280,517,11,10,24,26,7.9,14,16,387,97,263,103,129,-22,31,47,291,47,4000,2980
14200,284,537,12,9.3,24,28,8.2,15,16,398,99,267,104,130,23,32,48,293,48,4200,3150
14400,288,558,14,8.4,25,30,8.6,15,17,410,101,271,106,132,23,33,50,295,50,4500,3340
14600,292,582,16,7.3,25,32,9,16,17,422,103,275,107,134,-24,34,51,298,52,4700,3560
14800,296,609,20,6,26,35,9.4,17,17,434,106,279,109,136,-25,36,53,301,54,5000,3810
15000,300,641,28,4.4,26,38,9.7,19,17,447,109,282,110,138,-26,38,54,304,56,5300,4120
15200,304,686,0,0,27,43,10,20,18,464,112,283,112,140,-27,41,57,307,59,5700,4560
15300,306,750,0,0,28,48,11,23,20,483,116,283,115,144,-28,45,60,311,63,6200,5180
